0	27.1
0.2	24.9
0.4	24.1
0.6	27.7
0.8	32.2
1	29.4
1.2	32.2
1.4	28.6
1.6	26.5
1.8	25.1
2	26.7
2.2	32.2
2.4	30.4
2.6	28.9
2.8	25.9
3	24.3
3.2	25.9
3.4	26.7
3.6	28.2
3.8	32.2
4	32.1
4.2	32.6
4.4	24.3
4.6	27.7
4.8	29.4
5	32.1
5.2	32
5.4	29.6
5.6	26.3
5.8	24.9
6	26.5
6.2	28.9
6.4	30.8
6.6	30.8
6.8	29.4
7	26.7
7.2	25.1
7.4	26.3
7.6	28.6
7.8	30.3
8	32
8.2	28.1
8.4	25.7
8.6	25.5
8.8	27.1
9	29
9.2	29.8
9.4	29.8
9.6	27.3
9.8	25.7
10	25.9
10.2	26.7
10.4	29
10.6	32.2
10.8	32.2
11	28.6
11.2	25.9
11.4	24.9
11.6	25.5
11.8	28.6
12	32
12.2	32
12.4	28.8
12.6	25.9
12.8	25.5
13	27.3
13.2	28.9
13.4	32
13.6	29.8
13.8	27.1
14	25.1
14.2	25.7
14.4	26.7
14.6	30.2
14.8	32.6
15	32
15.2	26.7
15.4	23.5
15.6	24.1
15.8	26.7
16	30.3
16.2	32.1
16.4	29.7
16.6	26.5
16.8	24.2
17	25.1
17.2	28.1
17.4	30.8
17.6	32.1
17.8	28.9
18	25.7
18.2	24.3
18.4	25.1
18.6	28.6
18.8	32.1
19	32.1
19.2	28.8
19.4	24.9
19.6	23.3
19.8	24.3
20	28.8
20.2	32.1
20.4	32.6
20.6	28.6
20.8	25.1
21	23.6
21.2	25.1
21.4	29.8
21.6	32.6
21.8	30.8
22	27.8
22.2	24.9
22.4	24.7
22.6	26.3
22.8	30.4
23	32.1
23.2	29.4
23.4	25.5
23.6	23.7
23.8	25.1
24	28.1
24.2	30.3
24.4	32.6
24.6	30.2
24.8	26.7
25	24.3
25.2	24.3
25.4	27.1
25.6	30.4
25.8	32.6
26	30.4
26.2	26.7
26.4	24.3
26.6	25.1
26.8	28
27	30.4
27.2	30.4
27.4	28.8
27.6	25.9
27.8	24.3
28	25.1
28.2	29
28.4	32.2
28.6	32.6
28.8	30.4
29	25.9
29.2	23.5
29.4	24.3
29.6	28.8
29.8	32.2
30	32.1
30.2	29
30.4	25.9
30.6	23.6
30.8	25.9
31	28.8
31.2	32.2
31.4	32.2
31.6	27.9
31.8	25.1
32	24.9
32.2	26.5
32.4	29.8
32.6	32.1
32.8	30.3
33	27.1
33.2	23.6
33.4	22.8
33.6	26.5
33.8	30.8
34	32.1
34.2	30.3
34.4	26.7
34.6	24.1
34.8	24.3
35	28
35.2	30.3
35.4	32.1
35.6	29.6
35.8	26.3
36	24.7
36.2	24.7
36.4	27.8
36.6	32.2
36.8	32.6
37	28.6
37.2	25.5
37.4	24.1
37.6	24.9
37.8	28.1
38	32.1
38.2	32.6
38.4	29.4
38.6	25.9
38.8	24.7
39	25.1
39.2	27.3
39.4	30.4
39.6	32.1
39.8	29.8
40	25.7
40.2	23.5
40.4	25.9
40.6	28.8
40.8	32.1
41	32.2
41.2	27.3
41.4	24.3
41.6	23.6
41.8	26.7
42	30.2
42.2	32.1
42.4	32
42.6	28.8
42.8	25.1
43	23.6
43.2	25.5
43.4	29.8
43.6	32.1
43.8	30.8
44	28.2
44.2	24.9
44.4	23.5
44.6	26.5
44.8	30.3
45	32.1
45.2	29.8
45.4	26.7
45.6	24.9
45.8	24.3
46	28
46.2	32
46.4	32.6
46.6	30.2
46.8	25.7
47	22.8
47.2	24.3
47.4	28.2
47.6	32
47.8	32.1
48	29.4
48.2	25.7
48.4	23.5
48.6	25.1
48.8	28.9
49	32
49.2	30.4
49.4	28
49.6	26.3
49.8	25.5
50	27.1
50.2	29
50.4	30.3
50.6	30.4
50.8	27.3
51	24.7
51.2	23.7
51.4	26.5
51.6	29.8
51.8	32.2
52	30.3
52.2	27.3
52.4	24.2
52.6	24.3
52.8	27.3
53	30.4
53.2	32
53.4	29.6
53.6	27.1
53.8	24.3
54	24.7
54.2	28.8
54.4	32.1
54.6	32.6
54.8	27.8
55	24.3
55.2	22.9
55.4	25.5
55.6	29.7
55.8	32.8
56	32.6
56.2	28
56.4	24.7
56.6	23.6
56.8	25.5
57	29.7
57.2	32.1
57.4	32.1
57.6	27.3
57.8	24.9
58	23.7
58.2	26.7
58.4	30.3
58.6	32.1
58.8	29.8
59	26.5
59.2	23.5
59.4	24.3
59.6	28.6
59.8	32.1
60	32.6
60.2	29
60.4	25.1
60.6	22.7
60.8	24.1
61	29.8
61.2	32.6
61.4	32.1
61.6	28.1
61.8	25.1
62	23.7
62.2	25.1
62.4	28.9
62.6	32.1
62.8	30.8
63	26.7
63.2	24.7
63.4	24.3
63.6	26.7
63.8	30.8
64	32.8
64.2	30.8
64.4	26.7
64.6	23.7
64.8	22.5
65	26.5
65.2	30.8
65.4	32.1
65.6	32.1
65.8	28.1
66	22.9
66.2	22.5
66.4	26.7
66.6	30.8
66.8	32.6
