time (s)	f(t)
0	1.25
0.1	1.824584753
0.2	1.072203391
0.3	0.020892647
0.4	-0.339997254
0.5	-0.25
0.6	-0.564511243
0.7	-1.293435133
0.8	-1.417694894
0.9	-0.302042267
1	1.25
1.1	1.824584753
1.2	1.072203391
1.3	0.020892647
1.4	-0.339997254
1.5	-0.25
1.6	-0.564511243
1.7	-1.293435133
1.8	-1.417694894
1.9	-0.302042267
2	1.25
2.1	1.824584753
2.2	1.072203391
2.3	0.020892647
2.4	-0.339997254
2.5	-0.25
2.6	-0.564511243
2.7	-1.293435133
2.8	-1.417694894
2.9	-0.302042267
3	1.25
3.1	1.824584753
3.2	1.072203391
3.3	0.020892647
3.4	-0.339997254
3.5	-0.25
3.6	-0.564511243
3.7	-1.293435133
3.8	-1.417694894
3.9	-0.302042267
4	1.25
4.1	1.824584753
4.2	1.072203391
4.3	0.020892647
4.4	-0.339997254
4.5	-0.25
4.6	-0.564511243
4.7	-1.293435133
4.8	-1.417694894
4.9	-0.302042267
5	1.25
5.1	1.824584753
5.2	1.072203391
5.3	0.020892647
5.4	-0.339997254
5.5	-0.25
5.6	-0.564511243
5.7	-1.293435133
5.8	-1.417694894
5.9	-0.302042267
6	1.25
6.1	1.824584753
6.2	1.072203391
6.3	0.020892647
6.4	-0.339997254
6.5	-0.25
6.6	-0.564511243
6.7	-1.293435133
6.8	-1.417694894
6.9	-0.302042267
7	1.25
7.1	1.824584753
7.2	1.072203391
7.3	0.020892647
7.4	-0.339997254
7.5	-0.25
7.6	-0.564511243
7.7	-1.293435133
7.8	-1.417694894
7.9	-0.302042267
8	1.25
8.1	1.824584753
8.2	1.072203391
8.3	0.020892647
8.4	-0.339997254
8.5	-0.25
8.6	-0.564511243
8.7	-1.293435133
8.8	-1.417694894
8.9	-0.302042267
9	1.25
9.1	1.824584753
9.2	1.072203391
9.3	0.020892647
9.4	-0.339997254
9.5	-0.25
9.6	-0.564511243
9.7	-1.293435133
9.8	-1.417694894
9.9	-0.302042267
10	1.25
